"Bid";"Author";"Year";"Title corrected";"General category";"Keywords";"Typology";"Period";"Subjects"
"BVE0006593";"a cura di Giorgio Busetto, Madile Gambier";1987;"I Querini Stampalia : un ritratto di famiglia nel settecento veneziano";"history";"elites";"catalogue";"xviii";"CASE REALI, ARISTOCRAZIA, NOBILTÀ , ORDINI CAVALLERESCHI IN ITALIA; CASE REALI, ARISTOCRAZIA, NOBILTA, ORDINI CAVALLERESCHI IN ITALIA; CASE REALI, ARISTOCRAZIA, NOBILTA, ORDINI CAVALLERESCHI IN ITALIA; QUERINI STAMPALIA <FAMIGLIA> - Storia - Esposizioni - Venezia - 1987; Famiglie veneziane; Querini Stampalia(Famiglia) - Storia ; XVII"
"CFI0111639";"Queller, Donald E";1987;"Il patriziato veneziano : la realtà contro il mito";"history";"elites; myth";;"middle ages";"NOBILTA. VENEZIA <PROV.>; NOBILTA - Venezia <Repubblica> - Sec. 13.-15.; NOBILTA - Sec. 13.-15.; CORRUZIONE POLITICA - Venezia <Repubblica> - Sec. 13.-15.; CORRUZIONE POLITICA - Sec. 13.-15.; Nobiltà - Venezia <repubblica> - Sec. 13.-15.; Aristocrazia - Venezia"
"BRI0011952";"Brusatin, Manlio";1987;"Il teatro La Fenice : i progetti, l'architettura, le decorazioni";"architecture";"entertainment";;;"; Teatro La Fenice <Venezia>; Teatro La Fenice"
"PUV0452950";"Mackenney, Richard";1987;"Tradesmen and traders : the world of the guilds in Venice and Europe";"history";"guilds; commerce; crafts";;"middle ages; renaissance; xvii";"CORPORAZIONI IN ITALIA. VENEZIA <PROV.>; CORPORAZIONI; VENEZIA - Storia; Venezia - Corporazioni - 1250-1650; Europa - Corporazioni - 1250-1650; Corporazioni - Venezia (Repubblica) - Sec. 13.-17.; Commercio - Venezia ; XIII-XVII"
"RAV0023945";"Zorzi, Marino";1987;"La Libreria di San Marco : libri, lettori, società nella Venezia dei Dogi";"history";"books";;;"BIBLIOTECHE DELL'AMMINISTRAZIONE PUBBLICA. Singole biblioteche. Venezia (prov.); VENEZIA <REPUBBLICA>; VENEZIA - Biblioteca nazionale Marciana - Storia; Biblioteca nazionale Marciana - Storia; Biblioteca Nazionale Marciana - Storia; Biblioteca Nazionale Marciana - Venezia - Storia; Lettori; Biblioteche - Venezia - Storia"
"VIA0011988";"Toffolo, Stefano";1987;"Antichi strumenti veneziani, 1500-1800 : quattro secoli di liuteria e cembalaria";"arts";"music";;"renaissance; xvii; xviii";"STRUMENTI MUSICALI; Venezia; STRUMENTI MUSICALI - Storia - Sec. 16.-19.; Strumenti musicali - Venezia - Storia - Sec. 15.-19.; Strumenti musicali - Venezia - Sec. 16.-19.; Liuteria - Venezia - Sec. 16.-19.; Musica - Venezia; XVI-XIX"
"LO10024137";"Wolters, Wolfgang";1987;"Storia e politica nei dipinti di Palazzo Ducale : aspetti dell'autocelebrazione della Repubblica di Venezia nel Cinquecento";"arts";"painting; politics; myth";;"renaissance";"BELLE ARTI E ARTI DECORATIVE. Venezia (prov.); VENEZIA <REPUBBLICA>; VENEZIA - Palazzo ducale - Pitture; PALAZZO DUCALE - Pitture; Venezia-16. sec; Palazzo Ducale; Palazzo Ducale (Venezia) - Pitture - Sec. 16."
"TO00011658";;1987;"Dal museo alla citta : cultura e societa nella Venezia del Settecento";"history";"social; culture";;"xviii";"BELLE ARTI E ARTI DECORATIVE. Italia nord-orientale; Venezia - Arte; Venezia - Itinerari culturali; Cultura veneziana; Societa' - Venezia; XVIII"
"CFI0116658";"Facchinelli, Laura";1987;"Il ponte ferroviario in laguna";"architecture";"urban";;"xix";"TRASPORTO FERROVIARIO. Venezia (prov.); VENEZIA - Ponti ferroviari; FERROVIE - Storia; Ponti ferroviari - Venezia; Venezia - storia; XIX"
"CFI0093084";"Cristinelli, Giuseppe";1987;"Cannaregio : un sestiere di Venezia";"architecture";"urban";;;"PIANI E PIANIFICAZIONE MUNICIPALE. Venezia (prov.); VENEZIA - Sestiere di Cannaregio; Venezia - Edilizia; Cannaregio (Venezia) - Assetto edilizio - Studi; Cannaregio"
"VEA0004162";"Pavon, Giuliano";1988;"La memoria di un tempio : li Servi di San Marcilian ed il Canal-Marovich in Venezia";"architecture";"churches";;;"VENEZIA - Monastero di santa Maria dei Servi - Storia; Venezia - chiese - architettura"
"CFI0145444";"catalogo a cura di Marino Zorzi";1988;"Collezioni di antichità a Venezia nei secoli della Repubblica: dai libri e documenti della Biblioteca Marciana : mostra, 27 maggio-31 luglio 1988";"arts";"collecting";"catalogue";;"BIBLIOGRAFIE E CATALOGHI DI STORIA antica. Italia antica e territori adiacenti. Musei, collezioni, esposizioni. Venezia"
"CFI0135836";"Alverà Bortolotto, Angelica";1988;"Maiolica a Venezia nel Rinascimento";"arts";"crafts";;"renaissance";"TERRAGLIE E GRES. SPECIFICI TIPI, VARIETA, FABBRICHE. Venezia (prov.); MAIOLICHE - Venezia - Sec. 16.; MAIOLICHE - Sec. 16.; Arte - Venezia; XV-XVI"
"CFI0075341";"Borsari, Silvano";1988;"Venezia e Bisanzio nel 12. secolo : i rapporti economici";"history";"economics";;"middle ages";"COMMERCIO INTERNAZIONALE. Venezia - Grecia; VENEZIA <REPUBBLICA> E IMPERO D'ORIENTE - Relazioni economiche e commerciali - Sec. 12.; IMPERO D'ORIENTE E VENEZIA - Relazioni economiche e commerciali - Sec.12.; Venezia (Repubblica) e Impero d'Oriente - Rapporti economici - Sec. 12.; Venezia - Rapporti [con l']Oriente"
"CFI0130004";"Schutte, Anne Jacobson";1988;"Pier Paolo Vergerio e la riforma a Venezia, 1498-1549";"history";"individuals; religion";;"renaissance";"CHIESE LUTERANE. PERSONE COLLEGATE CON IL SOGGETTO; VERGERIO, PIER PAOLO <JR.>; VERGERIO, PIER PAOLO <JR.>; Vergerio - Pier Paolo; Riforma - Venezia - 1498-1549; Vergerio, Pier Paolo; Venezia - Storia; XV-XVI"
"CFI0120970";"Nehlsen-von Stryk, Karin";1988;"L'assicurazione marittima a Venezia nel 15. secolo";"history";"maritime; government";;"renaissance";"ASSICURAZIONE SUL TRASPORTO MARITTIMO E OCEANICO. Venezia (prov.); ECONOMIA; VENEZIA <REPUBBLICA>; VENEZIA - Assicurazioni marittime - Sec. 16.; ASSICURAZIONI MARITTIME - Venezia <Repubblica> - Sec. 15.; ASSICURAZIONI MARITTIME - Sec. 15.; Assicurazione marittima - Venezia (Repubblica) - Sec. 15.; Assicurazione marittima; Diritto delle assicurazioni 93; Commercio - Venezia ; XVI"
"CFI0078558";"Brown, Patricia Fortini";1988;"Venetian narrative painting in the age of Carpaccio";"arts";"painting";;"renaissance";"PITTURA. VENEZIA (PROV.); Bellini, Giovanni <1427-1516>; Carpaccio, Vittore; VENEZIA - Vita artistica e culturale - Sec. 15.-16.; BELLINI, GENTILE; Venezia - Rinascimento; Pitture veneziane; Pittura - Venezia - Sec. 15.-16.; Arte - Venezia; XV-XVI"
"RAV0037033";"catalogo della mostra a cura di Dario Succi";1988;"Capricci veneziani del Settecento";"arts";"painting";"catalogue";"xviii";"PITTURA. Venezia (prov.); PITTURA VENEZIANA - Sec. 18. - Esposizioni - Gorizia - 1988; Venezia-18. sec; Esposizioni - Gorizia - 1988; Venezia - pittura; XVIII"
"RAV0039334";"Nicol, Donald M";1988;"Byzantium and Venice : a study in diplomatic and cultural relations";"history";"politics; culture";;"middle ages";"RELAZIONI INTERNAZIONALI. Venezia (prov.)-Grecia; IMPERO D'ORIENTE; BISANZIO; VENEZIA <REPUBBLICA>; VENEZIA <REPUBBLICA> - Relazioni con l'Impero d'Oriente; Impero d'Oriente e Venezia (Repubblica) - Relazioni; Venezia - Rapporti [con l'] Oriente"
"BVE0003023";"Fletcher, Harry George";1988;"New Aldine studies : documentary essays on the life and work of Aldus Manutius";"history";"books; individuals";;"renaissance";"EDITORIA. Persone; Tipografia; Manuzio, Aldo; MANUZIO, ALDO; TIPOGRAFIA - Venezia - Sec. 16.; Manuzio, Aldo (1450-1515)"
"UBO0043249";"Newton, Stella Mary";1988;"The dress of the Venetians, 1495-1525";"arts";"social";;"renaissance";"VENEZIA - Usi e costumi; ABBIGLIAMENTO; ABBIGLIAMENTO - Venezia - Sec. 16.; Abbigliamento - Venezia - Storia ; XV-XVI"
"VEA0012106";"Urban, Lina";1988;"Il Bucintoro : la festa e la fiera della Sensa dalle origini alla caduta della Repubblica";"history";"social; entertainment";;;"STORIA DI VENEZIA (PROV.); VENEZIA - Bucintoro - Storia; BUCINTORO - Storia; FESTA DELL'ASCENSIONE; VENEZIA - Feste e giochi tradizionali; Bucintoro - Venezia - Storia; Bucintoro; Feste veneziane; Feste - Venezia"
"CFI0199032";"Romanelli, Giandomenico";1988;"Venezia Ottocento : l'architettura, l'urbanistica";"architecture";"urban";;"xix";"PIANI E PIANIFICAZIONE MUNICIPALE. Venezia; Urbanistica - Venezia - Sec. 19.; ARCHITETTURA - Venezia - Sec. 19.; Venezia - Architettura - Sec. 19.; Architettura [e] Urbanistica - Venezia; XIX"
"RAV0082263";"Berengo Gardin, Gianni";1988;"Giardini segreti a Venezia";"architecture";"urban";;;"Venezia; GIARDINI; VENEZIA - Giardini e parchi; Giardini-giardinaggio e opere di verde-parchi; Giardini - Venezia; Architettura - Venezia"
"VIA0044235";"saggi di Giovanni Caniato ... et al.";1988;"San Giacomo in Paludo : un'isola da recuperare";"history";"urban; lagoon";"catalogue";;"STORIA DI VENEZIA (PROV.); San Giacomo in Paludo - Storia - Esposizioni - Venezia - 1988; Oggetti di scavo - San Giacomo in Paludo - Esposizioni - Venezia - 1988; Isole - Venezia - esposizioni"
"CFI0136735";"Prelli, Alberto";1988;"Milizie ed armamento della Repubblica di Venezia nella fortezza di Palma : 1593-1797";"architecture";"war";;"xvii; xviii";"ARTI E SCIENZE MILITARI. Venezia (prov.); PALMANOVA - Fortificazioni - Storia - Sec. 16.-18.; VENEZIA <REPUBBLICA> - Storia militare - Sec. 16.-18.; ESERCITO - Palmanova - Sec. 17.-18.; VENEZIA <REPUBBLICA> - Difesa militare; Esercito - Venezia - 1593-1797; Venezia (Repubblica) e Palmanova - Esercito - 1593-1797"
"VEA0057741";"Grandesso, Espedita";1988;"I portali medievali di Venezia";"architecture";"monuments";;"middle ages";"PORTALI - Venezia - Sec. 10-13.; Venezia - architettura; X-XIII"
"CFI0126670";"Pertot, Gianfranco";1988;"Venezia restaurata : centosettanta anni di interventi di restauro sugli edifici veneziani";"architecture";"urban";;"xix; recent";"ARCHITETTURA. Venezia (prov.); EDIFICI - Restauro; VENEZIA - Edifici - Restauro - Sec. 19.-20.; Restauro-conservazione-tutela-catalogazione beni culturali; Venezia-restauri; Architettura - Restauro - Venezia"
"VEA0045675";"Bettini, Sergio";1988;"Venezia : nascita di una citta";"history";;;"middle ages";"STORIA DI VENEZIA (PROV.); ARTE - Venezia - Storia - Origini-Sec. 13.; VENEZIA - Storia - Origini-Sec. 14."
"VEA0004358";"Boscolo, Antonio";1988;"Memorie diverse della citta di Chiozza raccolte da me Antonio Boscolo nodaro quondam spettabile domino Marco ..";"history";"literature";"primary";;"STORIA DI VENEZIA (PROV.); CHIOGGIA; Chioggia - Storia - Fonti"
"CFI0121109";"a cura di Sergio Marinelli, Giuseppe Mazzariol, Fernando Mazzocca";1989;"Il Veneto e l'Austria: vita e cultura artistica nelle città venete, 1814-1866";"history";"arts; culture";"catalogue";"xix";"STORIA DELL'ITALIA NORD-ORIENTALE; VENETO - Vita artistica e culturale - 1814-1866 - Esposizioni - Verona - 1989; VENEZIA - Vita artistica e culturale - 1814-1866 - Esposizioni - Verona - 1989; VITA ARTISTICA E CULTURALE - 1814-1866; VERONA - Esposizioni - 1989; Esposizioni - Verona - 1989; Esposizioni - Verona - ""Il Veneto e l'Austria"" - 1989; Veneto - Vita artistica e culturale - 1814-1866 - Esposizioni - 1989; Veneto - Arte; Cultura - Venezia; XIX"
"PUV0033133";"Aikema, Bernard";1989;"Nel regno dei poveri : arte e storia dei grandi ospedali veneziani in eta moderna";"history";"arts; social; health";;"renaissance; xvii; xviii";"PROBLEMI E SERVIZI SOCIALI. TRATTAMENTO STORICO E GEOGRAFICO; VENEZIA - Istituti di assistenza; VENEZIA - Ospedali; ASSISTENZA SOCIALE - Venezia - Sec. 15.-18.; VENEZIA - Assistenza sociale - Sec. 15.-18.; ISTITUTI DI ASSISTENZA E DI BENEFICENZA; ASSISTENZA SOCIALE - Sec. 15.-18.; OSPEDALI; Carità-assistenza; Venezia - grandi ospedali - secc. 15.-18; Sanita' pubblica - Venezia; XV-XVIII"
"PUV0091111";"a cura di Elisabeth Santschi";1989;"Benedettini in S. Daniele : 1046-1198";"history";"churches";"primary";"middle ages";"CONGREGAZIONI E ORDINI RELIGIOSI NELLA STORIA DELLA CHIESA. BENEDETTINI. Udine (prov.); MONASTERO DI SAN DANIELE; VENEZIA - Monastero di San Daniele - Fonti archivistiche; Monasteri benedettini - Venezia - Archivi - Sec. 9.-13; Venezia - Fonti ecclesiastiche - Sec. 9.-13; Monasteri - Venezia - Sestiere di Castello; Archivi ecclesiastici; Venezia - fonti; XI-XII"
"CFI0163731";"Magani, Fabrizio";1989;"Il collezionismo e la committenza artistica della famiglia Widmann, patrizi veneziani, dal seicento all'ottocento";"arts";"collecting";;"xvii; xviii; xix";"WIDMANN <FAMIGLIA> - Sec. 17.-19.; COLLEZIONE D'ARTE WIDMANN - Sec. 17.-19.; COMMITTENZA - Venezia - Sec. 17.-19.; COLLEZIONISMO - Venezia - Sec. 17.-19.; Collezionismo; Collezionismo - Venezia - Famiglia Widmann - Sec. 17.-19.; Nobiltà - Venezia - Famiglia Widmann - Storia; Famiglie veneziane; Widmann; Aristocrazia - Venezia ; XVII-XIX"
"RAV0108549";"Luigi Zecchin";1989;"Vetro e vetrai di Murano : studi sulla storia del vetro 2";"arts";"crafts";;;"Venezia - arte vetraria - storia"
"MIL0125039";"Rösch, Gerhard";1989;"Der venezianische Adel bis zur Schliessung des Grossen Rats : zur Genese einer Fuhrungsschicht";"history";"elites";;"middle ages";"STORIA DI VENEZIA (PROV.); VENEZIA <REPUBBLICA> - Storia; VENEZIA - Storia - Sec. 10.-14.; Nobiltà veneziana; Aristocrazia veneziana; Aristocrazia - Venezia (Repubblica) - Sec. 10.-13.; Aristocrazia - Venezia ; X-XIII"
"CFI0149211";"Gallina, Mario";1989;"Una società coloniale del Trecento : Creta fra Venezia e Bisanzio";"history";"empire";;"middle ages";"SITUAZIONI E CONDIZIONI ECONOMICHE. CRETA; BISANZIO; AGRICOLTURA - Creta - Sec.14.; CRETA - Finanza - Sec. 14.; CRETA - Commercio estero; VENEZIA <REPUBBLICA> E CRETA - Sec. 14.; CRETA; Repubblica veneta; Commercio marittimo - Storia; Colonie veneziane - Creta - Sec. 13.; Creta - Dominazione [di] Venezia ; XIV"
"BVE0013664";"Valle, Patrizia";1989;"Tommaso Temanza e l'architettura civile : Venezia e il settecento: diffusione e funzionalizzazione dell'architettura";"architecture";"individuals";;"xviii";"ARCHITETTI singoli; Singoli progettisti di architettura.; TEMANZA, TOMMASO - Opere; DOLO - Ponte della Giudecca; ARCHITETTURA - Venezia - Sec. 18.; VENEZIA - Architettura - Sec. 18.; VENEZIA - Storia; TEMANZA, TOMMASO; Architettura-studi; Architettura - Venezia ; XVIII"
"PUV0039404";"Barcham, William L";1989;"The religious paintings of Giambattista Tiepolo : piety and tradition in eighteeth century Venice";"arts";"individuals; painting";;"xviii";"Pittura. Italia; PITTURA. ITALIA; Venezia; TIEPOLO, GIAMBATTISTA; Arte - Venezia; XVIII"
"VEA0002910";"Giovanni Scarabello... \et. al";1989;"San Girolamo Miani nel 5. centenario della nascita : atti del convegno, Studium Cattolico Veneziano, Venezia, 29-31 gennaio 1987";"history";"individuals; religion";;;"; GIROLAMO EMILIANI <SANTO>; GIROLAMO EMILIANI <SANTO>; GIROLAMO EMILIANI <SANTO> - Congressi - Venezia - 1987; VENEZIA - Congressi - 1987; Storia ecclesiastica - Venezia;"
"CFI0155634";;1989;"Ambiente e risorse nella politica veneziana : mostra documentaria";"history";"lagoon; politics";"catalogue";;"ECONOMIA DELLE RISORSE NATURALI ED ENERGIA. CONSERVAZIONE E PROTEZIONE. Venezia (prov.); VENEZIA <REPUBBLICA> - Risorse naturali - Esposizioni - Venezia - 1989; BENI COMUNALI - Esposizioni - Venezia - 1989; Venezia; Esposizioni - Venezia - 1989"
"VEA1019814";"Romanelli, Giandomenico";1989;"Tra gotico e neogotico : Palazzo Cavalli Franchetti a San Vidal";"architecture";"palaces";;;"VENEZIA - Palazzo Cavalli Franchetti; Gotico; Venezia-architettura; Neogotico; Architettura - Venezia"
"CFI0189500";"Zorzi, Alvise";1989;"I palazzi veneziani";"architecture";"palaces";;;"Architettura di palazzi e castelli. Venezia.; VENEZIA - Palazzi; VENEZIA - Palazzo Querini Stampalia; QUERINI STAMPALIA <FAMIGLIA>; PALAZZI; Palazzi - Venezia - Storia"
"CFI0179392";"Franzoi, Umberto";1989;"Il Palazzo ducale di Venezia : nella rappresentazione grafica dal 15. al 19. secolo";"arts";"palaces";"catalogue";"renaissance; xvii; xviii; xix";"ARTI GRAFICHE. ICONOGRAFIA; VENEZIA - Palazzo ducale - Iconografia - Sec. 15.-19. - Esposizioni - Venezia - 1989; PALAZZO DUCALE - Iconografia; Palazzo Ducale; Venezia - Palazzo Ducale - Vedute - Sec. 15.-19.; Venezia - Palazzo ducale"
"VEA0000171";"Oswald, Stephan";1989;"Die Inquisition, die Lebenden und die Toten : Venedigs deutsche Protestanten";"history";"religion";;"renaissance; xvii";"CONFESSIONI PROTESTANTI ORIGINARIE DEL CONTINENTE EUROPEO E ISTITUTI CONNESSI; CONFESSIONI PROTESTANTI ORIGINARIE DEL CONTINENTE EUROPEO E ISTITUTI CONNESSI; Venezia; PROTESTANTESIMO - Venezia - Sec.16.-17.; PROTESTANTI TEDESCHI; Inquisizione; Inquisizione - Venezia (Repubblica); Protestanti; Protestanti - Venezia; XVI-XVII"
"CFI0171133";"Milani, Marisa";1989;"Piccole storie di stregoneria nella Venezia del '500";"history";"religion; social";;"renaissance";"STORIA DI VENEZIA (PROV.); Venezia; STREGONERIA; Inquisizione; cultura popolare; Stregoneria - Venezia - Sec. 16.; Venezia - inquisizione; XVI"
"VEA0007780";"Martin, Ruth";1989;"Witchcraft and the Inquisition in Venice 1550-1650";"history";"religion; social";;"renaissance; xvii";"Magia e stregoneria. Venezia; STREGONERIA; STREGONERIA - Venezia - Sec. 16.-17.; Inquisizione - Venezia - Sec. 16.-17.; VENEZIA - Storia; Inquisizione; Stregoneria - Venezia - Sec. 16.; Inquisizione - Venezia : XVI-XVII"
"VEA0045668";"Bacchin, Giorgiana";1989;"Le altane di Venezia";"architecture";"urban";;;"Venezia; Altane - Venezia - Saggi; Altane; Architettura - Venezia"
"UFI0026451";"Cunico, Mariapia";1989;"Il giardino veneziano : la storia, l'architettura, la botanica";"architecture";"urban";;;"; VENEZIA - Giardini e parchi; Giardini-giardinaggio e opere di verde-parchi; Giardini - Venezia; Giardini - Venezia"
"BVE0000359";"Goy, Richard John";1989;"Venetian vernacular architecture : traditional housing in the Venetian lagoon";"architecture";"urban";;;"Architettura di edifici per abitazione. Venezia.; VENEZIA - Case - Storia; LAGUNA DI VENEZIA - Isole - Case - Storia; Case - Venezia - Studi; Case veneziane; Venezia - Palazzi - Storia; Isole - Laguna di Venezia - Case - Storia; Isole - Laguna di Venezia - Palazzi - Storia; Architettura - Venezia; Architettura - Venezia"
"RAV0040099";;1989;"Fanti e denari : sei secoli di giochi d'azzardo";"history";"war; economics";"catalogue";;"GIOCHI D'AZZARDO; Venezia; Giochi d'azzardo; GIOCHI D'AZZARDO - Esposizioni - Venezia - 1989; GIUOCHI D 'AZZARDO; Giochi d'azzardo - Venezia"
"CFI0194978";"Ciano, Cesare";1989;"L'armata di mare e la difesa dell'impero coloniale veneziano";"history";"war; empire";;"middle ages";"STORIA DI VENEZIA (PROV.); STORIA. VENEZIA (PROV.); NAVIGAZIONE; VENEZIA <REPUBBLICA> - Politica coloniale; POLITICA COLONIALE; Venezia - Marina militare; Venezia (Repubblica) - Armamenti navali - Sec. 13.-18.; Armata di mare; Navigazione - Venezia(Repubblica)"
"UFI0050445";"Grillo, Susanna";1989;"Venezia, le difese a mare : profilo architettonico delle opere di difesa idraulica nei litorali di Venezia";"architecture";"war; lagoon";;;"STORIA DELL'ITALIA NORD-ORIENTALE; Laguna di Venezia; LITORALI - Consolidamento - Storia; LITORALI - Veneto - Consolidamento - Storia; Idraulica - Venezia (Repubblica) - Storia; Difesa idraulica; Idraulica - Venezia; Venezia - laguna - idrologia"
"VEA0004723";"Perini, Sergio";1989;"Chioggia dal Settecento all'età della Restaurazione";"history";;;"xviii; xix";"STORIA DI VENEZIA (PROV.); CHIOGGIA; CHIOGGIA - Storia - Sec. 18.-19.; Chioggia - Storia - Sec. 18.; Vita sociale; Chioggia - Storia ; XVIII-XIX"
"RAV0145939";"a cura di Susanna Biadene";1990;"Carte da navigar : portolani e carte nautiche del museo Correr 1318-1732";"arts";"cartography";"catalogue";"middle ages; renaissance; xvii; xviii";"NAVIGAZIONE; CARTOGRAFIA NAUTICA - Esposizioni - Venezia - 1990; VENEZIA - Museo Correr - Cataloghi; Venezia-16. sec; Venezia-15. sec; Cartografia-mappe-atlanti; Venezia-18. sec; Venezia-14. sec; Collezioni - Venezia - Museo Correr; Venezia-17. sec; Portolani - Navigazione - Venezia - 1318-1732; Cartografia - Fonti ; XIV-XVIII"
"VEA0007473";"Schulz, Juergen";1990;"La cartografia tra scienza e arte : carte e cartografi nel Rinascimento italiano";"arts";"cartography";;"renaissance";"RAPPRESENTAZIONI GRAFICHE DELLA SUPERFICIE TERRESTRE E DEI MONDI EXTRATERRESTRI; Cartografia - Italia - Sec. 16.; CARTOGRAFI - Italia - Sec. 16.; VENEZIA - Piante topografiche - Sec. 16.; DE BARBARI, JACOPO; SORTE, CRISTOFORO; Cartografia; XV-XVI"
"CFI0172718";"Favaretto, Irene";1990;"Arte antica e cultura antiquaria nelle collezioni venete al tempo della Serenissima";"arts";"collecting";"catalogue";"renaissance; xvii; xviii";"STORIA DELL'ANTICA PENISOLA ITALICA E TERRITORI ADIACENTI FINO AL 476. ITALIA MERIDIONALE. Musei, collezioni, esposizioni. Italia nord-orientale; COLLEZIONISMO - Veneto - Sec. 15.-18.; COLLEZIONI D'ARTE; COLLEZIONISMO; COLLEZIONISMO - Venezia <repubblica> - Sec. 14.-18."
"LO10040725";"Binion, Alice";1990;"La galleria scomparsa del maresciallo Von der Schulenburg : un mecenate nella Venezia del Settecento";"arts";"collecting; individuals";;"xviii";"PITTURA. Venezia; PITTURA - Venezia - Sec. 18.; SCHULENBURG, JOHANN MATTHIAS VON DER - Collezioni d'arte; SCHULENBURG, JOHANN MATTHIAS VON DER - Collezioni d'arte; PITTORI - Sec. 18.; SCHULENBURG, JOHANN MATTHIAS VON DER; Arte - Venezia; XVIII"
"VEA0000259";;1990;"Perle e impiraperle : un lavoro di donne a Venezia tra '800 e '900";"arts";"crafts";"catalogue";"xviii; xix";"; Venezia; PERLE - Esposizioni - Venezia - 1990; PERLE; Impiraresse; Esposizioni - Venezia - 1990; Industria manifatturiera - Venezia; XIX-XX"
"VEA0008120";"Luigi Zecchin";1990;"Vetro e vetrai di Murano : studi sulla storia del vetro 3";"arts";"crafts";;;"ARTE VETRARIA. TRATTAMENTO GEOGRAFICO. VENEZIA; Venezia - arte vetraria - storia"
"CFI0185568";"Hocquet, Jean-Claude";1990;"Il sale e la fortuna di Venezia";"history";"economics";;"middle ages; renaissance; xvii";"; SALE; VENEZIA - Relazioni economiche e commerciali - Sec. 13.-17.; SALE - Commercio - Venezia - Storia - Sec. 13.-17.; Sale - Commercio - Venezia; Venezia (repubblica) - storia economica; XIII-XVII"
"VEA0004522";"Pezzolo, Luciano";1990;"L'oro dello Stato : societa, finanza e fisco nella Repubblica veneta del secondo '500";"history";"economics; public finance";;"renaissance";"TASSE E TASSAZIONE. Venezia (prov.); FINANZA PUBBLICA; VENEZIA <REPUBBLICA> - Finanza - Sec. 16.; ORO; FINANZA - Sec. 16.; Repubblica veneta; Finanza statale - Storia - Repubblica Veneta; Politica fiscale - Venezia(Repubblica) ; XVI"
"CFI0180246";"Venezia";1990;"I trattati con Aleppo, 1207-1254";"history";"empire";;"middle ages";"Trattati bilaterali. Venezia e Siria; RELAZIONI INTERNAZIONALI; RELAZIONI INTERNAZIONALI; ALEPPO; Venezia - Storia - Medioevo; Venezia - Relazioni internazionali - Aleppo - 1207-1254; Trattati - Venezia ; XIII"
"LO10065734";"Cornazzano, Antonio";1990;"Vita di Bartolomeo Colleoni";"history";"individuals; war";;"renaissance";"STORIA DI BERGAMO (PROV). PERSONE COLLEGATE CON IL SOGGETTO; COLLEONI, BARTOLOMEO; Biografie - Antichità; Colleoni, Bartolomeo <1400-1476> - Biografia; Biografie ; XV"
"CFI0204831";"a cura di Bianca Maria Scarfì";1990;"Il leone di Venezia : studi e ricerche sulla statua di bronzo della piazzetta";"history";"monuments";;;"SCULTURA. Venezia (prov.); VENEZIA - Piazzetta San Marco - Colonne; COLONNE DELLA PIAZZETTA; LEONE DI SAN MARCO; Venezia - scultura"
"VEA0035852";"Giulio Cattin";1990;"Musica e liturgia a San Marco : testi e melodie per la liturgia delle ore dal 12. al 17. secolo";"arts";"music";;"middle ages; renaissance; xvii; xviii";"Musica sacra - Venezia - Sec. 12.-17.; Musica - Venezia"
"PUV0058566";"Aikema, Bernard";1990;"Painters of Venice : the story of the venetian ""veduta";"arts";"painting";"catalogue";"renaissance; xvii; xviii";"VENEZIA - Vedute - Sec. 15.-18. - Esposizioni - Amsterdam - 1990-1991; VEDUTE - Esposizioni - Amsterdam - 1990-1991; VEDUTE - Esposizioni - Amsterdam - 1990-1991; AMSTERDAM - Esposizioni - 1990-1991; VENEZIA NELL'ARTE; Venezia - Sec. 18.; Vedutismo; Esposizioni - Amsterdam - 1990-91; Arte - Venezia"
"VEA0004880";"Franzoi, Umberto";1990;"Il Palazzo ducale di Venezia";"architecture";"palaces";;;"ARCHITETTURA DI PALAZZI. Venezia; VENEZIA - Palazzo ducale; PALAZZO DUCALE"
"VEA0009411";"Gemin, Massimo";1990;"Ca' Vendramin Calergi";"architecture";"palaces";;;"VENEZIA - Palazzo Vendramin Calergi; Venezia-architettura; Palazzo Vendramin Calergi; Venezia - palazzi"
"BVE0009375";"Boholm, Åsa";1990;"The Doge of Venice : the symbolism of state power in the Renaissance";"history";"politics";;;"STORIA DI VENEZIA (PROV.); STORIA. VENEZIA (PROV.); DOGI; VENEZIA <REPUBBLICA> - Storia sociale; Dogi; Dogi veneziani - Storia; Venezia - Rinascimento"
"CFI0180192";;1990;"Le cortigiane di Venezia: dal Trecento al Settecento : catalogo della Mostra";"history";"social";"catalogue";"middle ages; renaissance; xvii; xviii";"Iconografia. Donne.; CORTIGIANE - Venezia - Sec. 14.-18. - Esposizioni - Venezia - 1990; VENEZIA - Cortigiane - Sec. 14.-18. - Esposizioni - Venezia - 1990; CORTIGIANE; Donna - Venezia; Cortigiane - Venezia - Esposizione - 1990; Esposizioni - Venezia - Le cortigiane di Venezia - 1990; Donne - Condizioni socioeconomiche - Venezia ; XIV-XVIII"
"CFI0173528";"Hale, John Rigby";1990;"L'organizzazione militare di Venezia nel '500";"history";"war";;"renaissance";"POLITICA MILITARE. VENEZIA (PROV.); STORIA. VENEZIA (PROV.); VENEZIA <REPUBBLICA> - Storia militare - Sec. 16.; STORIA MILITARE - Sec. 16.; Venezia <Repubblica> - Politica militare - Sec. 16.; Storia militare - Venezia(Repubblica) ; XVI"
"VEA1149491";"François Baruchello";1990;"Venise, unique au monde";"history";;;;"Venezia; Venezia"
